scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
2-90-11,mustard_bottle,42,z2,979,103.84064824281513,1.6496161,103.84064824281513,1.6496161222457886,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-90-11_color_kinect.png
2-6-3,mustard_bottle,42,z2,1078,103.54447142355217,2.1618588,103.54447142355217,2.1618587970733643,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-60-7,foam_brick,26,z2|x4|y2,369,89.6398997029706,0.53068435,89.6398997029706,0.5306843519210815,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-60-7_color_kinect.png
2-72-13,sugar_box,55,z2|x2,85,88.48036204467405,1.5983324,88.48036204467405,1.598332405090332,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-72-13_color_kinect.png
2-26-13,gelatin_box,30,z2|x2,530,87.84180582900494,0.98031217,87.84180582900494,0.980312168598175,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-26-13_color_kinect.png
2-13-3,tuna_fish_can,57,zinf|x2,144,87.05770136313694,0.7462892,87.05770136313694,0.7462891936302185,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-13-3_color_kinect.png
2-34-3,master_chef_can,39,zinf|x2,369,86.91446054464433,0.1083861,86.91446054464433,0.1083860993385315,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-34-3_color_kinect.png
2-6-3,bleach_cleanser,8,z2,1537,86.13488364182659,2.0421245,86.13488364182659,2.0421245098114014,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
1-51-4,tomato_soup_can,56,zinf|x2,736,85.80895815896832,0.34334022,85.80895815896832,0.3433402180671692,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-51-4_color_kinect.png
2-7-8,tuna_fish_can,57,zinf|x2,73,84.88002446010209,0.533366,84.88002446010209,0.5333660244941711,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-7-8_color_kinect.png
