scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
2-6-3,bleach_cleanser,8,z2,1537,137.92884550261223,2.0590901,137.92884550261223,2.0590901,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,mustard_bottle,42,z2,1141,107.1805383960762,2.5516887,107.1805383960762,2.5516887,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,e_toy_airplane,21,z2,123,86.99465835064966,0.41346577,86.99465835064966,0.41346577,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,mustard_bottle,42,z2,1078,83.24829100582637,2.1819432,83.24829100582637,2.1819432,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,gelatin_box,30,z2|x2,464,52.93729437956339,0.19284289,52.93729437956339,0.19284289,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,gelatin_box,30,z2|x2,126,21.810561123608935,2.252626,21.810561123608935,2.252626,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,sugar_box,55,z2|x2,286,13.866157372844166,0.38023078,13.866157372844166,0.38023078,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,cracker_box,14,z2|x2,190,12.944260119991178,0.19546048,12.944260119991178,0.19546048,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,wood_block,58,z2|y2|x4,425,9.400444525705826,0.21629743,9.400444525705826,0.21629743,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,master_chef_can,39,zinf|x2,373,9.38024996125107,0.2871528,9.38024996125107,0.2871528,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,pudding_box,51,z2|x2,188,9.005853933430654,0.4584195,9.005853933430654,0.4584195,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,potted_meat_can,48,z2|x2,744,8.375866327321448,0.6172922,8.375866327321448,0.6172922,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,b_lego_duplo,5,z4,184,7.743393391629267,0.36931708,7.743393391629267,0.36931708,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,sugar_box,55,z2|x2,318,7.697757820800298,0.3879084,7.697757820800298,0.3879084,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,jenga,35,z2|x2,642,5.535000337376063,0.5675233,5.535000337376063,0.5675233,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,e_lego_duplo,20,z2,357,5.297154331730246,0.25895095,5.297154331730246,0.25895095,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,d_toy_airplane,18,zinf,127,4.974942651996834,0.38653025,4.974942651996834,0.38653025,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,bleach_cleanser,8,z2,1495,3.570767311223097,0.828494,3.570767311223097,0.828494,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,master_chef_can,39,zinf|x2,385,3.288763635978324,0.23603004,3.288763635978324,0.23603004,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
