scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
2-6-3,bleach_cleanser,8,z2,1537,124.53677790034648,2.8745375,124.53677790034648,2.874537467956543,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,mustard_bottle,42,z2,1141,108.91204036920779,3.2980282,108.91204036920779,3.2980282306671143,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,mustard_bottle,42,z2,1078,76.8904974936145,2.512986,76.8904974936145,2.512985944747925,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,e_toy_airplane,21,z2,123,74.04008138665128,0.5229271,74.04008138665128,0.5229271054267883,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,cracker_box,14,z2|x2,190,72.44156858719825,0.32052717,72.44156858719825,0.32052716612815857,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,gelatin_box,30,z2|x2,464,58.11401530027971,0.13972118,58.11401530027971,0.13972118496894836,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,gelatin_box,30,z2|x2,126,53.09718834604255,2.6420867,53.09718834604255,2.6420867443084717,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,sugar_box,55,z2|x2,318,46.79477422855767,0.41944304,46.79477422855767,0.4194430410861969,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,pudding_box,51,z2|x2,188,35.83132764293104,0.6487495,35.83132764293104,0.6487494707107544,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,b_lego_duplo,5,z4,184,26.087684800545702,0.71306646,26.087684800545702,0.7130664587020874,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,sugar_box,55,z2|x2,286,21.925056776974984,0.38785103,21.925056776974984,0.3878510296344757,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,e_lego_duplo,20,z2,357,21.56721552177833,0.6234234,21.56721552177833,0.6234233975410461,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,potted_meat_can,48,z2|x2,744,10.228112059489092,0.67361015,10.228112059489092,0.6736101508140564,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,bleach_cleanser,8,z2,1495,6.147614609163358,1.2042245,6.147614609163358,1.2042244672775269,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,d_toy_airplane,18,zinf,127,5.312973493995982,0.4820154,5.312973493995982,0.4820154011249542,0.0,0.0,0.0,0.0,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,master_chef_can,39,zinf|x2,385,3.6969552941848214,0.49712908,3.6969552941848214,0.49712908267974854,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,wood_block,58,z2|y2|x4,425,5.954722183126796,0.23915793,0.840004971051486,0.15693664098061869,5.11471721207531,0.08222128903589895,0.2560846560846561,0.16915409992030916,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,master_chef_can,39,zinf|x2,373,6.397412421234014,0.5949264,0.716076370363256,0.1452244911902749,5.681336050870758,0.44970192568365697,0.32857142857142857,0.1738578941838613,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,jenga,35,z2|x2,642,5.990278239948186,0.46758884,0.5407280034933183,0.14083513446267365,5.449550236454868,0.32675370745245697,0.32070240295748614,0.1635513371317162,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
