scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
2-6-3,bleach_cleanser,8,z2,1537,130.23570165511958,1.9006382,130.23570165511958,1.9006382,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,mustard_bottle,42,z2,1078,117.26402381213948,1.533721,117.26402381213948,1.533721,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,mustard_bottle,42,z2,1141,93.26670951047004,1.8930968,93.26670951047004,1.8930968,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,gelatin_box,30,z2|x2,126,35.71511731975564,1.1228921,35.71511731975564,1.1228921,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,master_chef_can,39,zinf|x2,385,20.412546202188935,0.20213313,20.412546202188935,0.20213313,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,pudding_box,51,z2|x2,188,7.006024995598078,0.12968668,7.006024995598078,0.12968668,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-77-11,b_lego_duplo,5,z4,184,6.430995193855839,0.3089335,6.430995193855839,0.3089335,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,e_toy_airplane,21,z2,123,5.883151779366685,0.12774998,5.883151779366685,0.12774998,0.0,0.0,,,False,False,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,sugar_box,55,z2|x2,318,4.959650952503553,0.25590405,4.959650952503553,0.25590405,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,cracker_box,14,z2|x2,190,4.944870215434852,0.20304468,4.944870215434852,0.20304468,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,master_chef_can,39,zinf|x2,373,4.8788537413336925,0.17017797,4.8788537413336925,0.17017797,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,bleach_cleanser,8,z2,1495,4.863693706552087,0.40369648,4.863693706552087,0.40369648,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,jenga,35,z2|x2,642,3.8570940798671516,0.3718604,3.8570940798671516,0.3718604,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,potted_meat_can,48,z2|x2,744,3.322407855539026,0.4342069,3.322407855539026,0.4342069,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,e_lego_duplo,20,z2,357,2.9013623977062535,0.22113103,2.9013623977062535,0.22113103,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,wood_block,58,z2|y2|x4,425,2.6699589619004067,0.3420589,2.6699589619004067,0.3420589,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
2-6-3,sugar_box,55,z2|x2,286,1.5182173569210802,0.18846731,1.5182173569210802,0.18846731,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-6-3,gelatin_box,30,z2|x2,464,1.3975904405062383,0.09085782,1.3975904405062383,0.09085782,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-77-11,d_toy_airplane,18,zinf,127,0.9617204293681019,0.11165467,0.9617204293681019,0.11165467,0.0,0.0,,,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-77-11_color_kinect.png
