dataset_index,scene,object_id,valid_points,rot_deg,trans_cm,difficulty
0,1-1-0,35,666,2.5625422,0.06652362,3.2277784
1,1-1-0,39,390,2.9753249,0.14337713,4.4090962
2,1-1-0,48,755,3.3718526,0.27831239,6.154977
3,1-1-0,51,212,2.5625422,0.15099114,4.0724535
4,1-1-0,58,370,2.5625422,0.57738984,8.33644
5,1-1-1,35,744,2.5625422,0.09126878,3.47523
6,1-1-1,39,376,2.5625422,0.19376746,4.5002165
7,1-1-1,48,821,3.9995859,0.14287268,5.428313
8,1-1-1,51,182,2.9528701,0.14171953,4.3700657
9,1-1-1,58,498,2.5625422,0.19949053,4.5574474
10,1-1-2,35,680,2.5625422,0.073011644,3.2926586
11,1-1-2,39,358,11.583813,0.08555016,12.439314
12,1-1-2,48,767,2.5625422,0.40132156,6.575758
13,1-1-2,51,222,3.1392462,0.15371776,4.676424
14,1-1-2,58,476,3.844405,0.3167438,7.0118427
15,1-1-3,35,715,2.5625422,0.20637487,4.626291
16,1-1-3,39,394,10.336394,0.14363487,11.772743
17,1-1-3,48,846,3.4885194,0.30745915,6.563111
18,1-1-3,51,8,45.420338,1.3231072,58.65141
19,1-1-3,58,558,2.5625422,0.17534825,4.316025
20,1-1-5,35,575,2.5625422,0.07230255,3.2855678
21,1-1-5,39,379,7.668642,0.0907248,8.57589
22,1-1-5,48,856,3.134753,0.3142433,6.277186
23,1-1-5,51,178,2.5625422,0.18175992,4.3801413
24,1-1-5,58,556,3.533356,0.2519339,6.0526953
25,1-1-6,35,659,2.5625422,0.1806724,4.3692665
26,1-1-6,39,383,2.5625422,0.1273737,3.8362792
27,1-1-6,48,758,2.5625422,0.33055145,5.8680563
28,1-1-6,51,213,2.5625422,0.12755625,3.8381047
29,1-1-6,58,590,2.5625422,0.20883304,4.650872
30,1-1-7,35,508,2.5625422,0.24209104,4.983453
31,1-1-7,39,376,2.669905,0.31180573,5.787962
32,1-1-7,48,733,2.5625422,0.49989846,7.5615273
33,1-1-7,51,208,2.9549906,0.16728075,4.627798
34,1-1-7,58,595,2.5625422,0.183246,4.3950024
35,1-1-8,35,649,2.5625422,0.30602384,5.622781
36,1-1-8,39,364,6.3317776,0.09331311,7.264909
37,1-1-8,48,789,2.5625422,0.23167492,4.8792915
38,1-1-8,51,188,2.5625422,0.30811623,5.6437044
39,1-1-8,58,561,2.5625422,0.2681349,5.243891
40,1-1-9,35,750,2.5625422,0.07878301,3.3503723
41,1-1-9,39,381,5.893419,0.18785618,7.771981
42,1-1-9,48,821,2.5625422,0.18148439,4.377386
43,1-1-9,51,216,2.8037941,0.11938186,3.9976127
44,1-1-9,58,542,2.5625422,0.21437895,4.7063317
45,1-1-10,35,630,2.5625422,0.39583865,6.5209284
46,1-1-10,39,366,4.2620916,0.06645134,4.926605
47,1-1-10,48,840,2.5625422,0.24512613,5.0138035
48,1-1-10,51,226,2.650627,0.15376334,4.18826
49,1-1-10,58,582,2.5625422,0.19458559,4.508398
50,1-1-11,35,713,2.5625422,0.18112311,4.3737736
51,1-1-11,39,246,92.99265,0.17793424,94.771996
52,1-1-11,48,793,2.5625422,0.26621336,5.224676
53,1-1-11,51,222,2.5625422,0.11355486,3.6980908
54,1-1-11,58,493,2.5625422,0.27793515,5.3418937
55,1-1-12,35,674,2.5625422,0.16218618,4.184404
56,1-1-12,39,369,2.5625422,0.11085756,3.6711178
57,1-1-12,48,799,2.6682916,0.36842299,6.3525214
58,1-1-12,51,195,3.3014414,0.25700304,5.871472
59,1-1-12,58,541,2.5625422,0.13262138,3.888756
60,1-1-13,35,698,2.5625422,0.13474655,3.9100077
61,1-1-13,39,373,7.2636075,0.17194131,8.983021
62,1-1-13,48,843,2.688608,0.35923916,6.280999
63,1-1-13,51,198,2.5625422,0.12903263,3.8528686
64,1-1-13,58,558,2.5625422,0.28808826,5.443425
65,1-1-14,35,623,2.5625422,0.3031829,5.594371
66,1-1-14,39,339,2.7172136,0.2035499,4.7527127
67,1-1-14,48,578,2.5625422,0.4474091,7.0366335
68,1-1-14,51,185,2.5625422,0.10127791,3.5753212
69,1-1-14,58,492,2.5625422,0.18960702,4.4586124
70,1-1-17,35,665,2.5625422,0.2142321,4.7048635
71,1-1-17,39,383,2.5625422,0.16371772,4.1997194
72,1-1-17,48,696,2.5625422,0.72175086,9.78005
73,1-1-17,51,219,2.5625422,0.3011986,5.574528
74,1-1-17,58,583,3.877271,0.1425006,5.3022766
75,1-1-18,35,568,2.5625422,0.29746056,5.5371475
76,1-1-18,39,373,4.2893915,0.17041425,5.993534
77,1-1-18,48,795,2.9839969,0.38215247,6.8055215
78,1-1-18,51,187,5.8296814,0.24597244,8.289406
79,1-1-18,58,528,2.5625422,0.26296094,5.1921515
80,1-1-19,35,696,3.7894094,0.1253745,5.0431542
81,1-1-19,39,371,11.688014,0.172806,13.416074
82,1-1-19,48,769,3.315643,0.3585259,6.900902
83,1-1-19,51,233,4.7681403,0.07630616,5.531202
84,1-1-19,58,512,3.152936,0.2043057,5.195993
85,1-1-20,35,759,8.470439,0.19536456,10.424085
86,1-1-20,39,369,2.5625422,0.21686766,4.731219
87,1-1-20,48,593,2.9491553,0.22619462,5.2111015
88,1-1-20,51,218,2.5625422,0.1791126,4.353668
89,1-1-20,58,478,2.5625422,0.32912698,5.853812
90,1-2-0,35,647,2.5625422,0.123803385,3.8005762
91,1-2-0,39,369,3.7045422,0.14479853,5.1525273
92,1-2-0,48,839,2.6619754,0.22442146,4.90619
93,1-2-0,51,190,2.5625422,0.22364615,4.7990036
94,1-2-0,58,522,2.6494453,0.23785886,5.028034
95,1-2-1,35,741,2.5625422,0.13843961,3.9469383
96,1-2-1,39,375,4.13536,0.15181823,5.653542
97,1-2-1,48,822,2.5625422,0.3906221,6.4687634
98,1-2-1,51,198,3.4429865,0.30465764,6.489563
99,1-2-1,58,550,2.5625422,0.108965404,3.6521964
100,1-2-2,35,726,3.2179585,0.2909012,6.1269703
101,1-2-2,39,364,2.5625422,0.0689219,3.2517612
102,1-2-2,48,848,2.5625422,0.23786369,4.9411793
103,1-2-2,51,208,2.5625422,0.14143679,3.97691
104,1-2-2,58,482,2.5625422,0.22323243,4.7948666
105,1-2-3,35,634,2.5625422,0.29296923,5.492234
106,1-2-3,39,385,2.5625422,0.15275326,4.0900745
107,1-2-3,48,813,3.113699,0.2588246,5.701945
108,1-2-3,51,215,2.5625422,0.10576091,3.6201513
109,1-2-3,58,566,2.5625422,0.11783342,3.7408764
110,1-2-4,35,685,2.5625422,0.39038822,6.4664245
111,1-2-4,39,341,9.834793,0.2518194,12.352987
112,1-2-4,48,797,2.9114783,0.21899338,5.101412
113,1-2-4,51,223,2.8232749,0.06665678,3.4898427
114,1-2-4,58,451,2.5625422,0.45376578,7.1001997
115,1-2-5,35,694,2.5625422,0.122344725,3.7859893
116,1-2-5,39,367,3.1996553,0.09272414,4.126897
117,1-2-5,48,755,2.8745332,0.21278958,5.002429
118,1-2-5,51,142,2.8434486,0.3396238,6.239687
119,1-2-5,58,573,2.5625422,0.07376578,3.3002
120,1-2-6,35,695,2.5625422,0.12400624,3.8026047
121,1-2-6,39,367,2.5625422,0.137838,3.9409223
122,1-2-6,48,808,2.5625422,0.3341931,5.9044733
123,1-2-6,51,221,2.5625422,0.18219443,4.384486
124,1-2-6,58,492,2.5625422,0.21691588,4.731701
125,1-2-7,35,681,2.5625422,0.18115269,4.374069
126,1-2-7,39,371,3.0000267,0.09630058,3.9630325
127,1-2-7,48,850,2.910671,0.31518456,6.0625167
128,1-2-7,51,221,2.5625422,0.06897699,3.2523122
129,1-2-7,58,530,2.5625422,0.08836781,3.4462204
130,1-2-8,35,659,3.2166197,0.13313887,4.5480084
131,1-2-8,39,356,2.6091704,0.17270559,4.3362265
132,1-2-8,48,745,2.5625422,0.25686967,5.131239
133,1-2-8,51,195,2.5625422,0.13211636,3.8837059
134,1-2-8,58,541,2.5625422,0.20225798,4.585122
135,1-2-9,35,691,2.5625422,0.28664255,5.4289675
136,1-2-9,39,387,3.9105122,0.08581774,4.7686896
137,1-2-9,48,863,2.751219,0.36564645,6.4076834
138,1-2-9,51,217,2.5625422,0.13248162,3.8873584
139,1-2-9,58,543,2.5625422,0.20733973,4.6359396
140,1-2-10,35,700,2.5934439,0.04064167,2.9998605
141,1-2-10,39,374,3.248597,0.12982298,4.546827
142,1-2-10,48,806,2.5625422,0.33140263,5.876569
143,1-2-10,51,218,2.5625422,0.02108045,2.7733467
144,1-2-10,58,572,4.296919,0.25358385,6.8327575
145,1-2-11,35,697,2.5625422,0.1354432,3.916974
146,1-2-11,39,363,4.6665263,0.13015017,5.968028
147,1-2-11,48,785,2.5625422,0.37258148,6.288357
148,1-2-11,51,216,2.5625422,0.09696392,3.5321813
149,1-2-11,58,565,2.5625422,0.10159208,3.578463
150,1-2-12,35,630,2.5625422,0.19890301,4.5515723
151,1-2-12,39,299,6.562709,0.2503808,9.066517
152,1-2-12,48,853,3.0957913,0.26104593,5.7062507
153,1-2-12,51,213,2.785583,0.070617035,3.4917533
154,1-2-12,58,550,2.5625422,0.1719611,4.282153
155,1-2-13,35,727,2.5625422,0.21564272,4.7189693
156,1-2-13,39,367,4.7039876,0.112327665,5.8272643
157,1-2-13,48,840,2.5625422,0.2563586,5.126128
158,1-2-13,51,98,20.270775,0.32828856,23.553661
159,1-2-13,58,556,2.5625422,0.124330245,3.8058448
160,1-2-14,35,663,2.5625422,0.16210982,4.1836405
161,1-2-14,39,368,3.9614584,0.20273402,5.9887986
162,1-2-14,48,809,3.1163385,0.37221393,6.838478
163,1-2-14,51,217,2.5625422,0.14835301,4.046072
164,1-2-14,58,560,2.5625422,0.1177841,3.7403831
165,1-2-15,35,635,2.5625422,0.44893613,7.0519037
166,1-2-15,39,374,3.5355716,0.080378726,4.339359
167,1-2-15,48,560,5.69705,0.42852777,9.982328
168,1-2-15,51,205,2.5625422,0.20533958,4.615938
169,1-2-15,58,545,2.5625422,0.18036462,4.3661885
170,1-2-16,35,552,2.5625422,0.37328,6.2953424
171,1-2-16,39,369,3.1313162,0.13074079,4.438724
172,1-2-16,48,824,3.1228647,0.19200693,5.042934
173,1-2-16,51,214,2.5625422,0.12935741,3.8561163
174,1-2-16,58,582,2.5625422,0.0812766,3.3753083
175,1-2-17,35,544,2.5625422,0.18751852,4.4377275
176,1-2-17,39,372,3.4533205,0.11484112,4.601732
177,1-2-17,48,797,2.5625422,0.22676471,4.830189
178,1-2-17,51,211,2.7253418,0.08551285,3.5804703
179,1-2-17,58,557,2.5625422,0.2963323,5.5258656
180,1-2-19,35,756,2.5625422,0.056306172,3.125604
181,1-2-19,39,378,4.726836,0.123194955,5.958786
182,1-2-19,48,817,10.399831,0.5050456,15.450287
183,1-2-19,51,211,2.8855445,0.08478042,3.7333488
184,1-2-19,58,576,2.5625422,0.026411619,2.8266585
185,1-2-20,35,687,2.5625422,0.20872429,4.649785
186,1-2-20,39,319,2.5625422,0.44590658,7.0216084
187,1-2-20,48,772,2.5731375,0.35520744,6.1252117
188,1-2-20,51,223,2.5625422,0.05323437,3.0948858
189,1-2-20,58,499,2.5625422,0.17150937,4.277636
190,1-3-0,35,694,2.5625422,0.20298043,4.592346
191,1-3-0,39,378,2.5625422,0.15329663,4.0955086
192,1-3-0,48,800,2.5625422,0.37490812,6.3116236
193,1-3-0,51,215,2.5625422,0.089709535,3.4596376
194,1-3-0,58,576,2.5625422,0.08906914,3.4532337
195,1-3-2,35,690,2.5625422,0.33553493,5.9178915
196,1-3-2,39,363,2.5625422,0.14689317,4.031474
197,1-3-2,48,660,4.910713,0.13138598,6.224573
198,1-3-2,51,212,2.5625422,0.021633446,2.7788768
199,1-3-2,58,547,2.616587,0.14026603,4.019247
200,1-3-4,35,553,2.5625422,0.53492934,7.9118357
201,1-3-4,39,374,6.878144,0.114955045,8.027695
202,1-3-4,48,828,2.5625422,0.16463311,4.2088733
203,1-3-4,51,172,5.157005,0.18709971,7.028002
204,1-3-4,58,525,2.5625422,0.13160531,3.8785954
205,1-3-5,35,733,2.5625422,0.10427445,3.6052866
206,1-3-5,39,384,3.5132391,0.11203181,4.6335573
207,1-3-5,48,779,2.5625422,0.32282412,5.7907834
208,1-3-5,51,211,2.5625422,0.20215051,4.5840473
209,1-3-5,58,474,2.5625422,0.30459112,5.6084538
210,1-3-6,35,625,2.5625422,0.21719027,4.7344446
211,1-3-6,39,384,6.379565,0.11374956,7.5170603
212,1-3-6,48,607,7.547225,1.2313317,19.860542
213,1-3-6,51,206,2.5625422,0.1196114,3.758656
214,1-3-6,58,592,2.5625422,0.0894619,3.4571612
215,1-3-7,35,730,2.5625422,0.13382347,3.9007769
216,1-3-7,39,391,2.5625422,0.07431397,3.305682
217,1-3-7,48,765,2.5625422,0.31344822,5.6970243
218,1-3-7,51,194,3.455361,0.20155047,5.4708652
219,1-3-7,58,392,2.5625422,0.38692167,6.431759
220,1-3-8,35,663,2.5625422,0.26973101,5.2598524
221,1-3-8,39,373,2.5625422,0.14632751,4.0258174
222,1-3-8,48,843,2.5625422,0.2990581,5.5531235
223,1-3-8,51,212,2.5625422,0.036661536,2.9291575
224,1-3-8,58,551,2.5625422,0.21128488,4.675391
225,1-3-9,35,682,2.5625422,0.10687247,3.6312668
226,1-3-9,39,380,2.769232,0.05652385,3.3344705
227,1-3-9,48,851,2.5625422,0.2890312,5.452854
228,1-3-9,51,72,9.807323,0.5416036,15.22336
229,1-3-9,58,464,2.5625422,0.24415874,5.0041294
230,1-3-10,35,689,2.5625422,0.21553044,4.717847
231,1-3-10,39,390,5.5516386,0.08668248,6.4184637
232,1-3-10,48,611,2.5625422,0.22242509,4.7867928
233,1-3-10,51,191,4.270492,0.26309738,6.901466
234,1-3-10,58,518,3.257143,0.13300797,4.587223
235,1-3-12,35,662,2.5625422,0.17751826,4.3377247
236,1-3-12,39,366,2.5625422,0.109414265,3.6566849
237,1-3-12,48,603,2.5625422,0.31461376,5.70868
238,1-3-12,51,183,3.4192483,0.19592594,5.3785076
239,1-3-12,58,406,2.8711264,0.217932,5.0504465
240,1-3-13,35,691,2.5625422,0.11891027,3.7516448
241,1-3-13,39,360,2.5625422,0.15765741,4.1391163
242,1-3-13,48,766,2.5625422,0.23083386,4.870881
